70001234,Ali Ahmad,70001234@curtin.edu.my,CMDP1023,Lecture
70002156,Siti Aminah,70002156@curtin.edu.my,CMDP1023,Tutorial
70003478,John Tan,70003478@curtin.edu.my,CMDP1023,Lecture
70004892,Mary Wong,70004892@curtin.edu.my,CMFP2034,Lecture
70005613,Sarah Lee,70005613@curtin.edu.my,CMDP1023,Lecture
70006745,Ahmad Ibrahim,70006745@curtin.edu.my,CMFP2034,Tutorial
70007289,Lisa Chen,70007289@curtin.edu.my,CMDP1023,Tutorial
70008534,David Lim,70008534@curtin.edu.my,CMFP2034,Lecture
70009167,Nurul Huda,70009167@curtin.edu.my,CMDP1023,Lecture
70010423,Kevin Ng,70010423@curtin.edu.my,CMFP2034,Tutorial
70011856,Fatimah Zahra,70011856@curtin.edu.my,CMDP1023,Tutorial
70012698,Michael Tan,70012698@curtin.edu.my,CMDP1023,Lecture
70013742,Aishah Binti Ali,70013742@curtin.edu.my,CMFP2034,Lecture
70014385,James Wong,70014385@curtin.edu.my,CMDP1023,Tutorial
70015927,Nur Izzah,70015927@curtin.edu.my,CMFP2034,Lecture
70016541,Ryan Lee,70016541@curtin.edu.my,CMDP1023,Lecture
70017683,Siti Noor,70017683@curtin.edu.my,CMFP2034,Tutorial
70018429,Benjamin Koh,70018429@curtin.edu.my,CMDP1023,Lecture
70019756,Zara Amelia,70019756@curtin.edu.my,CMDP1023,Tutorial
70020814,Daniel Ooi,70020814@curtin.edu.my,CMFP2034,Lecture
70021947,Amirah Najwa,70021947@curtin.edu.my,CMDP1023,Lecture
70022638,Wei Ming,70022638@curtin.edu.my,CMDP1023,Tutorial
70023514,Natasha Lim,70023514@curtin.edu.my,CMFP2034,Lecture
70024876,Haris Azmi,70024876@curtin.edu.my,CMDP1023,Lecture
70025392,Emily Tan,70025392@curtin.edu.my,CMFP2034,Tutorial
70026158,Zulkifli Hassan,70026158@curtin.edu.my,CMDP1023,Tutorial
70027641,Jasmine Koh,70027641@curtin.edu.my,CMFP2034,Lecture
70028923,Farah Natasha,70028923@curtin.edu.my,CMDP1023,Lecture
70029487,Marcus Lee,70029487@curtin.edu.my,CMDP1023,Tutorial
70030562,Nur Syahirah,70030562@curtin.edu.my,CMFP2034,Tutorial
70031845,Joshua Tan,70031845@curtin.edu.my,CMDP1023,Lecture
70032796,Aisyah Rahman,70032796@curtin.edu.my,CMFP2034,Lecture
70033421,Nicholas Wong,70033421@curtin.edu.my,CMDP1023,Tutorial
70034658,Hannah Lee,70034658@curtin.edu.my,CMDP1023,Lecture
70035974,Firdaus Kamal,70035974@curtin.edu.my,CMFP2034,Tutorial
70036813,Catherine Ng,70036813@curtin.edu.my,CMDP1023,Lecture
70037529,Syamil Rashid,70037529@curtin.edu.my,CMFP2034,Tutorial
70038246,Amanda Teo,70038246@curtin.edu.my,CMDP1023,Tutorial
70039781,Rizal Affandi,70039781@curtin.edu.my,CMDP1023,Lecture
70040625,Michelle Ong,70040625@curtin.edu.my,CMFP2034,Lecture
